Date,Close,High,Low,Open,Volume
2010-11-26,9.447181701660156,9.528157796512177,9.385400320063734,9.409392910785714,237585600
2010-11-29,9.503259658813477,9.521553408229797,9.338608706443031,9.462171399497546,445785200
2010-11-30,9.331710815429688,9.427982240322027,9.3233131333229,9.403389028437864,501858000
2010-12-01,9.489164352416992,9.52965197815543,9.447176740069487,9.455274105047755,461750800
2010-12-02,9.541647911071777,9.56713967293373,9.443876501222372,9.523053043845719,462837200
2010-12-03,9.520356178283691,9.556644967406521,9.487366078773046,9.507460135840134,342092800
2010-12-06,9.601630210876465,9.667010559358062,9.549744935243181,9.556343113701269,448481600
2010-12-07,9.543450355529785,9.716797753172202,9.540751500201635,9.711100525633784,391454000
2010-12-08,9.627426147460938,9.627726465232406,9.51046158521835,9.586038354315413,321935600
2010-12-09,9.589935302734375,9.672110233109768,9.567741424501325,9.661014495264032,294151200
2010-12-10,9.613929748535156,9.628625297359555,9.555146752390211,9.586637671783837,262511200
2010-12-13,9.64721965789795,9.748890435059897,9.627126397354813,9.72819653898837,439815600
2010-12-14,9.605831146240234,9.673311335903582,9.567142215861573,9.649018435590888,351008000
2010-12-15,9.607932090759277,9.68710786283499,9.572842163795546,9.597134266100431,417312000
2010-12-16,9.634620666503906,9.675408610148127,9.600131385300278,9.629821990681398,322030800
2010-12-17,9.615429878234863,9.650819323040432,9.604033019465277,9.646020645663764,386929200
2010-12-20,9.663413047790527,9.694604444275184,9.544049176170713,9.645118494506777,385610400
2010-12-21,9.723095893859863,9.728793921938975,9.658615678710243,9.68710661995303,256354000
2010-12-22,9.751885414123535,9.768680779347607,9.70359994037497,9.727892836079098,265921600
2010-12-23,9.705103874206543,9.75158986344487,9.692207828230856,9.747091503496696,223157200
2010-12-27,9.737491607666016,9.760285322811644,9.642720141970758,9.682608743051969,249816000
2010-12-28,9.761184692382812,9.796873647491122,9.748888484306047,9.774380251877462,175924000
2010-12-29,9.755788803100586,9.790578416140356,9.750089972816038,9.783679916411423,163139200
2010-12-30,9.706901550292969,9.762384248978805,9.688606995316363,9.761484897497509,157494400
2010-12-31,9.67391300201416,9.701504597350493,9.636423733709965,9.685609378233565,193508000
2011-01-03,9.884148597717285,9.904842491791268,9.742291313162301,9.766283897239795,445138400
2011-01-04,9.935734748840332,9.97202354655739,9.841562303574152,9.970224042475332,309080800
2011-01-05,10.017008781433105,10.027205970452176,9.882049188981778,9.883549176025895,255519600
2011-01-06,10.008909225463867,10.054495043415235,9.984016495423068,10.03859983040974,300428800
2011-01-07,10.080586433410645,10.087484128690432,9.954023775656498,10.01670527012459,311931200
2011-01-10,10.270431518554688,10.293824263984103,10.112079209533672,10.161863872992065,448560000
2011-01-11,10.24614143371582,10.345710780184183,10.181060576796721,10.34331224248071,444108000
2011-01-12,10.32951545715332,10.329815774901993,10.25693786704311,10.294427132245582,302590400
2011-01-13,10.36730670928955,10.396098779350194,10.312423827855252,10.35171180552089,296780400
2011-01-14,10.451278686523438,10.451278686523438,10.330115299907286,10.373602107425388,308840000
2011-01-18,10.216448783874512,10.339711993708983,9.777079941054497,9.882648430253735,1880998000
2011-01-19,10.162166595458984,10.454878702819318,10.103384400291644,10.447380369122426,1135612800
2011-01-20,9.977421760559082,10.14597130030316,9.900644523714469,10.08988795935992,764789200
2011-01-21,9.798670768737793,10.043397604190178,9.795971113446107,10.01010719457282,754401200
2011-01-24,10.120474815368652,10.120474815368652,9.798670468693857,9.803169627093228,574683200
2011-01-25,10.238940238952637,10.240140708796503,10.034101963265908,10.086886598275264,546868000
2011-01-26,10.312419891357422,10.364904214432999,10.241941332210297,10.285727653684862,506875600
2011-01-27,10.293225288391113,10.33761224572136,10.281829232408985,10.310320173211528,285026000
2011-01-28,10.079988479614258,10.328915020478648,10.002912540521022,10.322017323363948,592057200
2011-01-31,10.176559448242188,10.198153491022545,10.026004987537151,10.07099097496858,377246800
2011-02-01,10.347807884216309,10.366401952254265,10.226344204948123,10.235941556630735,426633200
2011-02-02,10.32651424407959,10.354405346362013,10.30342101683016,10.330413568655727,258955200
2011-02-03,10.300121307373047,10.324114686262554,10.153465382722851,10.310918327873326,393797600
2011-02-04,10.391895294189453,10.397893639439552,10.302222034818378,10.306120558807361,321840400
2011-02-07,10.55324935913086,10.594336028910448,10.426086820908656,10.43358435331308,485021600
2011-02-08,10.652817726135254,10.662415079274478,10.56134575699231,10.60723190041839,381040800
2011-02-09,10.741591453552246,10.766784505103125,10.642921471276544,10.652518023401097,482745200
